# deviation_chirp_bias	 deviation_time_bias
0.00007268	0.00098565
0.00036418	0.00144040
0.00000283	0.00008262
0.00007003	0.00019655
0.00025593	0.00536819
0.00022549	0.00147506
0.00031860	0.00393351
0.00003333	0.00095961
0.00004558	0.00005257
0.00000799	0.00016799
0.00002745	0.00016775
0.00052296	0.00134098
0.00037320	0.00526322
0.00003476	0.00039658
0.00028359	0.00352866
0.00009238	0.00020768
0.00076018	0.00711240
0.00002927	0.00060014
0.00005237	0.00048739
0.00029229	0.00468966
0.00006592	0.00492126
0.00021950	0.00147549
0.00001872	0.00127902
0.00012631	0.00050161
0.00002371	0.00037871
0.00042489	0.00286029
0.00000679	0.00002493
0.00005285	0.00002543
0.00002628	0.00022887
0.00007927	0.00089187
0.00005827	0.00056213
0.00008566	0.00048512
0.00002279	0.00050609
0.00008613	0.00100492
0.00000698	0.00007343
0.00020992	0.00010173
0.00019112	0.00165578
0.00035588	0.00168333
0.00018153	0.00351392
0.00042496	0.00240456
0.00024099	0.00003312
0.00006987	0.00005834
0.00016062	0.00073804
0.00020822	0.00056938
0.00008877	0.00052098
0.00012231	0.00142843
0.00009924	0.00030745
0.00001236	0.00063575
0.00005214	0.00030939
0.00011391	0.00120385
0.00037438	0.00033571
0.00037897	0.00021701
0.00008538	0.00053167
0.00021846	0.00023254
0.00019519	0.00011736
0.00010425	0.00000811
0.00001987	0.00000119
0.00014023	0.00002375
0.00032619	0.00173461
0.00011698	0.00002456
0.00011278	0.00096942
0.00020832	0.00581792
0.00005688	0.00105123
0.00000921	0.00028193
0.00015652	0.00408015
0.00001156	0.00022036
0.00025128	0.00023411
0.00006285	0.00005830
0.00009961	0.00036489
0.00006749	0.00013379
0.00019722	0.00436933
0.00040103	0.00434361
0.00004159	0.00022317
0.00012380	0.00114417
0.00007709	0.00000456
0.00001519	0.00014201
0.00023770	0.00986148
0.00005493	0.00131732
0.00000955	0.00065389
0.00008098	0.00004097
0.00000108	0.00059829
0.00002240	0.00000147
0.00022240	0.00022902
0.00008116	0.00063063
0.00000729	0.00053884
0.00017240	0.00305130
0.00167620	0.00311634
0.00018267	0.00057286
0.00015160	0.00073353
0.00001532	0.00002630
0.00002792	0.00140692
0.00003991	0.00058750
0.00022745	0.00016695
0.00003814	0.00029855
0.00002916	0.00042559
0.00031417	0.00402959
0.00008661	0.00001423
0.00023610	0.00276241
0.00002906	0.00004654
0.00018483	0.00045601
0.00017223	0.00011634
0.00009296	0.00456073
0.00006108	0.00142003
0.00040616	0.01126477
0.00022525	0.00001196
0.00004369	0.00021863
0.00001428	0.00137490
0.00032222	0.00001927
0.00039837	0.00225275
0.00003270	0.00024286
0.00034171	0.00171602
0.00014065	0.00029276
0.00009880	0.00162346
0.00010442	0.00128999
0.00010803	0.00047758
0.00000164	0.00002380
0.00003426	0.00012668
0.00002660	0.00070690
0.00002277	0.00008314
0.00003895	0.00058269
0.00002141	0.00165403
0.00005864	0.00012098
0.00036043	0.00086222
0.00004210	0.00055605
0.00068135	0.00564886
0.00011466	0.00067235
0.00011158	0.00063737
0.00005064	0.00029412
0.00018096	0.00311089
0.00001653	0.00028852
0.00012485	0.00015155
0.00005570	0.00078188
0.00007594	0.00165133
0.00006700	0.00108118
0.00002655	0.00125251
0.00040400	0.00055023
0.00003451	0.00002896
0.00037313	0.00025755
0.00010554	0.00072322
0.00018375	0.00021024
0.00006753	0.00023127
0.00000936	0.00016739
0.00000251	0.00094612
0.00008801	0.00045034
0.00009648	0.00075948
0.00006019	0.00136506
0.00030538	0.00015513
0.00004608	0.00000168
0.00003878	0.00006230
0.00004813	0.00112465
0.00020693	0.00431575
